"idArticle";"idProduct";"English Name";"Local Name";"Exp.";"Exp. Name";"Price";"Language";"Comments";"Amount";"onSale";"idCurrency";"Currency Code"
"1233937575";"253806";"100 Dragon Shield Sleeves - Brown";"100 Dragon Shield Sleeves - Brown";"";"";"9.00";"2";"";"1";"1";"1";"EUR"
"1233937824";"294586";"100 Dragon Shield Sleeves - Classic Crimson";"100 Dragon Shield Sleeves - Classic Crimson";"";"";"8.00";"2";"";"1";"1";"1";"EUR"
"1233938489";"368793";"100 Dragon Shield Sleeves - Classic Green";"100 Dragon Shield Sleeves - Classic Green";"";"";"9.00";"2";"";"1";"1";"1";"EUR"
"1233937774";"315017";"100 Dragon Shield Sleeves - Classic Silver";"100 Dragon Shield Sleeves - Classic Silver";"";"";"9.00";"2";"";"2";"1";"1";"EUR"
"1233937800";"460144";"100 Dragon Shield Sleeves - Classic Tangerine";"100 Dragon Shield Sleeves - Classic Tangerine";"";"";"9.80";"2";"";"1";"1";"1";"EUR"
"1233938402";"315014";"100 Dragon Shield Sleeves - Classic White";"100 Dragon Shield Sleeves - Classic White";"";"";"10.00";"2";"";"2";"1";"1";"EUR"
"1233937611";"315022";"100 Dragon Shield Sleeves - Classic Yellow";"100 Dragon Shield Sleeves - Classic Yellow";"";"";"10.00";"2";"";"2";"1";"1";"EUR"
"1266824684";"200016";"100 Ultra Pro PLATINUM Nine Pocket Pages";"100 Ultra Pro PLATINUM Nine Pocket Pages";"";"";"24.00";"2";"";"1";"1";"1";"EUR"
"1266824370";"200023";"100 Ultra Pro SILVER Nine Pocket Pages";"100 Ultra Pro SILVER Nine Pocket Pages";"";"";"19.90";"2";"";"2";"1";"1";"EUR"
"1266823159";"263177";"25 Ultra Pro Regular Toploaders";"25 Ultra Pro Regular Toploaders";"";"";"5.00";"1";"SEALED";"7";"1";"1";"EUR"
"1233927268";"257256";"50 Ultra Pro Deck Protector Sleeves (Pink)";"50 Ultra Pro Deck Protector Sleeves (Pink)";"";"";"2.80";"2";"";"7";"1";"1";"EUR"
"1264468099";"394162";"60 Dragon Shield Sleeves - Matte Night Blue";"60 Dragon Shield Sleeves - Matte Night Blue";"";"";"5.80";"2";"";"7";"1";"1";"EUR"
"1223992793";"267129";"60 Player's Choice Sleeves (Blue)";"60 Player's Choice Sleeves (Blue)";"";"";"3.80";"2";"";"18";"1";"1";"EUR"
"1213124355";"267131";"60 Player's Choice Sleeves (Gold)";"60 Player's Choice Sleeves (Gold)";"";"";"5.00";"2";"POKEMON / MAGIC";"11";"1";"1";"EUR"
"1223992833";"267132";"60 Player's Choice Sleeves (Green)";"60 Player's Choice Sleeves (Green)";"";"";"4.20";"2";"";"15";"1";"1";"EUR"
"1213124549";"267137";"60 Player's Choice Sleeves (White)";"60 Player's Choice Sleeves (White)";"";"";"3.90";"2";"POKEMON / MAGIC";"4";"1";"1";"EUR"
"1263793544";"527355";"Ancient Guardians Booster";"Ancient Guardians Booster";"ANGU";"Ancient Guardians";"3.90";"2";"";"24";"1";"1";"EUR"
"1263792194";"527350";"Ancient Guardians Booster Box";"Ancient Guardians Booster Box";"ANGU";"Ancient Guardians";"89.00";"2";"SEALED";"4";"1";"1";"EUR"
"1263794176";"527350";"Ancient Guardians Booster Box";"Ancient Guardians Booster Box";"ANGU";"Ancient Guardians";"79.00";"2";"SEALED";"4";"1";"1";"EUR"
"1286486059";"577252";"Battle of Chaos Booster Box";"Battle of Chaos Booster Box";"BACH";"Battle of Chaos";"84.00";"2";"";"36";"1";"1";"EUR"
"1263792574";"373182";"Battles of Legend: Hero's Revenge Booster Box";"Battles of Legend: Hero's Revenge Booster Box";"BLHR";"Battles of Legend: Hero's Revenge";"120.00";"2";"SEALED";"1";"1";"1";"EUR"
"1252945255";"574178";"Burst of Destiny Booster";"Burst of Destiny Booster";"BODE";"Burst of Destiny";"3.70";"2";"";"72";"1";"1";"EUR"
"1082449842";"287162";"Breakers of Shadow: Sneak Peek Playmat";"Breakers of Shadow: Sneak Peek Playmat";"BOSH";"Breakers of Shadow";"25.00";"2";"SEALED";"1";"1";"1";"EUR"
"1251766919";"257919";"Battle Pack: Epic Dawn Playmat";"Battle Pack: Epic Dawn Playmat";"BP01";"Battle Pack: Epic Dawn";"15.00";"1";"UNSEALLED";"2";"1";"1";"EUR"
"1281084143";"574175";"Brothers of Legend Booster Box";"Brothers of Legend Booster Box";"BROL";"Brothers of Legend";"62.00";"1";"";"6";"1";"1";"EUR"
"1261854822";"574175";"Brothers of Legend Booster Box";"Brothers of Legend Booster Box";"BROL";"Brothers of Legend";"84.00";"2";"";"30";"1";"1";"EUR"
"1265550773";"562132";"Dawn of Majesty Booster";"Dawn of Majesty Booster";"DAMA";"Dawn of Majesty";"4.20";"2";"";"48";"1";"1";"EUR"
"1263790999";"562131";"Dawn of Majesty Booster Box";"Dawn of Majesty Booster Box";"DAMA";"Dawn of Majesty";"89.00";"2";"SEALED";"11";"1";"1";"EUR"
"1241812948";"463229";"8x Dragons of Legend: The Complete Series";"8x Dragons of Legend: The Complete Series";"DLCS";"Dragons of Legend: The Complete Series";"320.00";"2";"";"1";"1";"1";"EUR"
"1082427237";"257928";"Duelist Revolution Sneak Peek Playmat";"Duelist Revolution Sneak Peek Playmat";"DREV";"Duelist Revolution";"30.00";"2";"UNSEALED";"1";"1";"1";"EUR"
"539625044";"406869";"Duel Devastator: ""Ash Blossom & Joyous Spring"" Field Center Card";"Duel Devastator: ""Ash Blossom & Joyous Spring"" Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"46";"1";"1";"EUR"
"539625704";"406874";"Duel Devastator: ""Ghost Belle & Haunted Mansion"" Field Center Card";"Duel Devastator: ""Ghost Belle & Haunted Mansion"" Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"90";"1";"1";"EUR"
"539624554";"406879";"Duel Devastator: ""Ghost Ogre & Snow Rabbit"" Field Center Card";"Duel Devastator: ""Ghost Ogre & Snow Rabbit"" Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"60";"1";"1";"EUR"
"539626454";"406884";"Duel Devastator: ""Ghost Reaper & Winter Cherries"" Field Center Card";"Duel Devastator: ""Ghost Reaper & Winter Cherries"" Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"95";"1";"1";"EUR"
"539626224";"406889";"Duel Devastator: ""Ghost Sister & Spooky Dogwood"" Field Center Card";"Duel Devastator: ""Ghost Sister & Spooky Dogwood"" Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"108";"1";"1";"EUR"
"539623989";"406924";"Duel Devastator: ""Red Blossoms from Underroot"" Field Center Card";"Duel Devastator: ""Red Blossoms from Underroot"" Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"45";"1";"1";"EUR"
"539627864";"406894";"Duel Devastator: Ishizu Ishtar Field Center Card";"Duel Devastator: Ishizu Ishtar Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"74";"1";"1";"EUR"
"539627964";"406899";"Duel Devastator: Joey Wheeler Field Center Card";"Duel Devastator: Joey Wheeler Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"70";"1";"1";"EUR"
"539627119";"406909";"Duel Devastator: Mai Valentine Field Center Card";"Duel Devastator: Mai Valentine Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"103";"1";"1";"EUR"
"539627729";"406904";"Duel Devastator: Maximillion Pegasus Field Center Card";"Duel Devastator: Maximillion Pegasus Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"68";"1";"1";"EUR"
"539628444";"406914";"Duel Devastator: Seto Kaiba Field Center Card";"Duel Devastator: Seto Kaiba Field Center Card";"DUDE";"Duel Devastator";"0.90";"2";"ENVOI RAPIDE !";"72";"1";"1";"EUR"
"539628699";"406919";"Duel Devastator: Yami Yugi Field Center Card";"Duel Devastator: Yami Yugi Field Center Card";"DUDE";"Duel Devastator";"0.35";"2";"ENVOI RAPIDE !";"23";"1";"1";"EUR"
"1245466477";"562120";"Egyptian God Deck: Obelisk the Tormentor";"Egyptian God Deck: Obelisk the Tormentor";"EGO1";"Egyptian God Deck: Obelisk the Tormentor";"8.00";"1";"ENGLISH VERSION";"14";"1";"1";"EUR"
"1245466598";"562125";"Egyptian God Deck: Slifer the Sky Dragon";"Egyptian God Deck: Slifer the Sky Dragon";"EGS1";"Egyptian God Deck: Slifer the Sky Dragon";"8.00";"1";"ENGLISH VERSION";"14";"1";"1";"EUR"
"1082457517";"257930";"Extreme Victory Sneak Peek Playmat";"Extreme Victory Sneak Peek Playmat";"EXVC";"Extreme Victory";"22.00";"2";"SEALED";"1";"1";"1";"EUR"
"1263792737";"390137";"Fists of the Gadgets Booster Box";"Fists of the Gadgets Booster Box";"FIGA";"Fists of the Gadgets";"89.00";"2";"";"1";"1";"1";"EUR"
"1257641110";"257934";"Galactic Overlord Sneak Peek Playmat";"Galactic Overlord Sneak Peek Playmat";"GAOV";"Galactic Overlord";"35.00";"2";"UNSEALED";"1";"1";"1";"EUR"
"1265481016";"527365";"Ghosts From the Past Box";"Ghosts From the Past Box";"GFTP";"Ghosts From the Past";"30.00";"2";"";"14";"1";"1";"EUR"
"1286486253";"584068";"Ghosts From the Past: The 2nd Haunting Booster Box";"Ghosts From the Past: The 2nd Haunting Booster Box";"GFTP2";"Ghosts From the Past: The 2nd Haunting";"84.00";"2";"";"12";"1";"1";"EUR"
"1251767516";"257922";"Gold Series Kaiba Playmat";"Gold Series Kaiba Playmat";"GLD4";"Gold Series 4: Pyramids Edition";"17.90";"1";"UNSEALLED";"1";"1";"1";"EUR"
"1251766479";"257920";"Gold Series Yugi & Kaiba Playmat";"Gold Series Yugi & Kaiba Playmat";"GLD4";"Gold Series 4: Pyramids Edition";"17.90";"1";"UNSEALLED";"2";"1";"1";"EUR"
"1286485993";"577248";"The Grand Creators Booster Box";"The Grand Creators Booster Box";"GRCR";"The Grand Creators";"84.00";"2";"";"12";"1";"1";"EUR"
"1261854755";"548796";"King's Court Booster Box";"King's Court Booster Box";"KICO";"King's Court";"130.00";"2";"";"2";"1";"1";"EUR"
"1120539622";"535598";"Legendary Duelists: Season 2: ""Kaiba Corp"" Die";"Legendary Duelists: Season 2: ""Kaiba Corp"" Die";"LDS2";"Legendary Duelists: Season 2";"13.00";"2";"";"10";"1";"1";"EUR"
