id,name_en,name_fr,price,comments,count,condition,expansion,status,from,last_edited,is_signed,is_first_ed,is_altered,is_foil,is_reverse_holo,is_playset,game_id,language_id,currency_id,product_id,seller_id,created_at,updated_at,category_id
1,,,1.3,(5)YRX[01] FOTB (7043) C [01],8,NM,,,,,,true,,,,,,2,,101788,,,,
2,,,1.19,(5)YRX[01] FOTB (7043) C [01],1,EX,,,,,,true,,,,,,2,,101788,,,,
3,,,1.76,(5)YRX[01] AST (7070) C [01],1,EX,,,,,,true,,,,,,2,,101789,,,,
4,,,0.83,(5)YRX[01] AST (7070) C [01],1,EX,,,,,,false,,,,,,2,,101789,,,,
5,,,0.77,R23/F,1,EX,,,,,,false,,,,,,2,,101789,,,,
6,,,1.01,(08)YRG[01]-DR2-2EX-183-2-f-RG[01],6,EX,,,,,,false,,,,,,2,,101790,,,,
7,,,1.2,(5)YRX[01] DB1 (7198) C [01],1,EX,,,,,,false,,,,,,1,,101791,,,,
8,,,1.87,(5)YRX[01] PSV (7088) C [01],1,NM,,,,,,false,,,,,,2,,101792,,,,
9,,,3.6,R23/F,1,EX,,,,,,true,,,,,,2,,101793,,,,
10,,,2.37,(08)YRG[01]-DR2-2EX-204-2-f-RG[01],6,EX,,,,,,false,,,,,,2,,101794,,,,
11,,,2.57,(5)YRX[01] MRD (7098) C [01],2,EX,,,,,,false,,,,,,1,,101795,,,,
12,,,1.36,(5)YRX[01] PSV (7004) C [01],5,NM,,,,,,false,,,,,,2,,101798,,,,
13,,,1.3,(5)YRX[01] GLAS (7062) C [01],6,NM,,,,,,true,,,,,,2,,101802,,,,
14,,,1.19,(5)YRX[01] GLAS (7062) C [01],3,EX,,,,,,true,,,,,,2,,101802,,,,
15,,,1.1,(08)YRG[01]-STON-1NM-041-2-t-RG[01],1,NM,,,,,,true,,,,,,2,,101803,,,,
16,,,1.8,(5)YRX[01] DCR (7030) C [01],6,NM,,,,,,false,,,,,,1,,101804,,,,
17,,,2.63,(5)YRX[01] CP03 (7018) C [01],8,NM,,,,,,false,,,,,,2,,101806,,,,
18,,,3.51,(5)YRX[01] FET (5037) SR [01],6,NM,,,,,,true,,,,,,2,,101807,,,,
19,,,1.74,(5)YRX[01] DP1 (7025) C [01],1,EX,,,,,,false,,,,,,2,,101809,,,,
