abbreviation,rarity,count,condition,is_first_ed,language_id,product_id,id,comments,status,from,game_id,comments_special_cm,comments_special_ad,prix_a_envoyer,guid,price,comment_mkm
PGD,Common,1,EX,False,1,101799,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-PGD-2EX-024-1-f-RG[01],(08)YRG[01]-PGD-2EX-024-1-f-RG[01]-101799,NaN,(08)YRG[01]-PGD-2EX-1-F-101799,NaN,(08)YRG[01]-PGD-2EX-024-1-f-RG[01]
DR1,Common,1,EX,False,2,101800,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-2EX-018-2-f-RG[01],(08)YRG[01]-DR1-2EX-018-2-f-RG[01]-101800,NaN,(08)YRG[01]-DR1-2EX-2-F-101800,NaN,(08)YRG[01]-DR1-2EX-018-2-f-RG[01]
DR1,Common,1,PL,False,2,101800,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-5PL-018-2-f-RG[01],(08)YRG[01]-DR1-5PL-018-2-f-RG[01]-101800,NaN,(08)YRG[01]-DR1-5PL-2-F-101800,NaN,(08)YRG[01]-DR1-5PL-018-2-f-RG[01]
PGD,Common,1,GD,False,1,101801,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-PGD-3GD-070-1-f-RG[01],(08)YRG[01]-PGD-3GD-070-1-f-RG[01]-101801,NaN,(08)YRG[01]-PGD-3GD-1-F-101801,NaN,(08)YRG[01]-PGD-3GD-070-1-f-RG[01]
DCR,Common,3,EX,False,2,101804,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-2EX-030-2-f-RG[01],(08)YRG[01]-DCR-2EX-030-2-f-RG[01]-101804,NaN,(08)YRG[01]-DCR-2EX-2-F-101804,NaN,(08)YRG[01]-DCR-2EX-030-2-f-RG[01]
DCR,Common,2,GD,False,1,101804,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-3GD-030-1-f-RG[01],(08)YRG[01]-DCR-3GD-030-1-f-RG[01]-101804,NaN,(08)YRG[01]-DCR-3GD-1-F-101804,NaN,(08)YRG[01]-DCR-3GD-030-1-f-RG[01]
DCR,Common,1,NM,False,2,101804,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-1NM-030-2-f-RG[01],(08)YRG[01]-DCR-1NM-030-2-f-RG[01]-101804,NaN,(08)YRG[01]-DCR-1NM-2-F-101804,NaN,(08)YRG[01]-DCR-1NM-030-2-f-RG[01]
DR1,Common,1,EX,False,2,101805,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-2EX-192-2-f-RG[01],(08)YRG[01]-DR1-2EX-192-2-f-RG[01]-101805,NaN,(08)YRG[01]-DR1-2EX-2-F-101805,NaN,(08)YRG[01]-DR1-2EX-192-2-f-RG[01]
DR1,Common,3,GD,False,2,101805,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-3GD-192-2-f-RG[01],(08)YRG[01]-DR1-3GD-192-2-f-RG[01]-101805,NaN,(08)YRG[01]-DR1-3GD-2-F-101805,NaN,(08)YRG[01]-DR1-3GD-192-2-f-RG[01]
DR1,Common,2,LP,False,2,101805,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-4LP-192-2-f-RG[01],(08)YRG[01]-DR1-4LP-192-2-f-RG[01]-101805,NaN,(08)YRG[01]-DR1-4LP-2-F-101805,NaN,(08)YRG[01]-DR1-4LP-192-2-f-RG[01]
