guid,price
(00)CGC/6/2-TAEV-1NM-2-T-101830.0,49.07
(08)YRG[01]-FOTB-2EX-2-F-101788.0,0.94
(5)YRX[01]-FOTB-2EX-2-T-101788.0,1.19
(08)YRG[01]-FOTB-2EX-2-T-101788.0,0.94
(5)YRX[01]-FOTB-1NM-2-F-101788.0,1.3
(08)YRG[01]-FOTB-1NM-2-F-101788.0,1.1
(5)YRX[01]-FOTB-1NM-2-T-101788.0,1.3
(5)YRX[01]-AST-2EX-2-F-101789.0,0.83
(XX)UNK[XX]-AST-2EX-2-F-101789.0,0.77
(5)YRX[01]-AST-2EX-2-T-101789.0,1.76
(5)YRX[01]-AST-3GD-2-F-101789.0,1.19
(5)YRX[01]-AST-1NM-1-F-101789.0,0.66
(5)YRX[01]-AST-1NM-1-T-101789.0,1.02
(08)YRG[01]-DR2-2EX-2-F-101790.0,1.01
(5)YRX[01]-DR2-2EX-2-F-101790.0,1.24
(5)YRX[01]-DB1-2EX-1-F-101791.0,1.2
(08)YRG[01]-PSV-1NM-1-F-101792.0,1.76
(5)YRX[01]-PSV-1NM-2-F-101792.0,1.87
(XX)UNK[XX]-AST-2EX-2-T-101793.0,3.6
(08)YRG[01]-DR2-2EX-2-F-101794.0,2.37
(5)YRX[01]-DR2-2EX-2-F-101794.0,2.58
(5)YRX[01]-MRD-2EX-1-F-101795.0,2.57
(08)YRG[01]-MRD-2EX-1-F-101795.0,2.36
(08)YRG[01]-PSV-1NM-1-F-101798.0,1.15
(5)YRX[01]-PSV-1NM-1-F-101798.0,1.02
(5)YRX[01]-PSV-1NM-2-F-101798.0,2
(5)YRX[01]-PSV-1NM-2-F-101798.0,1.36
(08)YRG[01]-PGD-2EX-1-F-101799.0,NaN
(08)YRG[01]-DR1-2EX-2-F-101800.0,NaN
(08)YRG[01]-DR1-5PL-2-F-101800.0,NaN
(08)YRG[01]-PGD-3GD-1-F-101801.0,NaN
(08)YRG[01]-GLAS-2EX-2-T-101802.0,0.94
(5)YRX[01]-GLAS-2EX-2-T-101802.0,1.19
(08)YRG[01]-GLAS-3GD-2-T-101802.0,0.61
(5)YRX[01]-GLAS-3GD-2-T-101802.0,0.76
(08)YRG[01]-GLAS-4LP-2-T-101802.0,0.44
(5)YRX[01]-GLAS-1NM-2-F-101802.0,1.3
(5)YRX[01]-GLAS-1NM-2-T-101802.0,1.3
(08)YRG[01]-STON-1NM-2-T-101803.0,1.1
(08)YRG[01]-DCR-2EX-2-F-101804.0,NaN
(08)YRG[01]-DCR-2EX-2-F-101804.0,NaN
(08)YRG[01]-DCR-3GD-1-F-101804.0,NaN
(5)YRX[01]-DCR-1NM-1-F-101804.0,1.8
(08)YRG[01]-DCR-1NM-1-F-101804.0,2.2
(5)YRX[01]-DCR-1NM-1-F-101804.0,2.29
(08)YRG[01]-DCR-1NM-2-F-101804.0,NaN
(08)YRG[01]-DR1-2EX-2-F-101805.0,NaN
(08)YRG[01]-DR1-3GD-2-F-101805.0,NaN
(08)YRG[01]-DR1-4LP-2-F-101805.0,NaN
(08)YRG[01]-DR1-1NM-2-F-101805.0,NaN
(08)YRG[01]-CP03-2EX-2-F-101806.0,1.87
(5)YRX[01]-CP03-2EX-2-F-101806.0,2
(08)YRG[01]-CP03-3GD-2-F-101806.0,1.41
(5)YRX[01]-CP03-1NM-2-F-101806.0,2.63
(08)YRG[01]-CP03-1NM-2-F-101806.0,2.2
(5)YRX[01]-FET-2EX-2-T-101807.0,2.86
(5)YRX[01]-FET-3GD-2-T-101807.0,1.84
(5)YRX[01]-FET-4LP-2-T-101807.0,1.26
(5)YRX[01]-FET-1NM-2-T-101807.0,3.51
(5)YRX[01]-DP1-2EX-2-F-101809.0,1.74
(5)YRX[01]-DR2-2EX-2-F-101810.0,2.25
(08)YRG[01]-DR2-2EX-2-F-101810.0,1.87
(5)YRX[01]-IOC-2EX-1-T-101811.0,1.14
(5)YRX[01]-IOC-1NM-1-F-101811.0,2.02
(08)YRG[01]-DB2-2EX-2-F-101812.0,1.87
(5)YRX[01]-DB2-2EX-2-F-101812.0,2
(08)YRG[01]-DB2-3GD-2-F-101812.0,1.21
(08)YRG[01]-DB2-4LP-2-F-101812.0,0.88
(5)YRX[01]-DB2-1NM-1-F-101812.0,1.72
(08)YRG[01]-DB2-1NM-2-F-101812.0,2.2
(08)YRG[01]-DR1-2EX-2-F-101816.0,1.87
(08)YRG[01]-DR1-3GD-2-F-101816.0,1.21
(08)YRG[01]-DR1-4LP-2-F-101816.0,0.88
(5)YRX[01]-DR1-1NM-2-F-101816.0,2.47
(5)YRX[01]-CRV-2EX-2-F-101818.0,0.72
(08)YRG[01]-CRV-2EX-2-F-101818.0,1.87
(5)YRX[01]-CRV-2EX-2-T-101818.0,1.18
(08)YRG[01]-CRV-2EX-2-T-101818.0,1.87
(08)YRG[01]-CRV-3GD-2-F-101818.0,1.21
(08)YRG[01]-CRV-3GD-2-T-101818.0,1.21
