id,name_en,name_fr,price,comments,count,condition,expansion,status,from,last_edited,is_signed,is_first_ed,is_altered,is_foil,is_reverse_holo,is_playset,game_id,language_id,currency_id,product_id,seller_id,created_at,updated_at,category_id
158,100 Dragon Shield Sleeves - Brown,,9,,1,,,,,,,false,,,,,,2,,253806,,,,
159,100 Dragon Shield Sleeves - Classic Crimson,,8,,1,,,,,,,false,,,,,,2,,294586,,,,
160,100 Dragon Shield Sleeves - Classic Green,,9,,1,,,,,,,false,,,,,,2,,368793,,,,
161,100 Dragon Shield Sleeves - Classic Silver,,9,,2,,,,,,,false,,,,,,2,,315017,,,,
162,100 Dragon Shield Sleeves - Classic Tangerine,,9.8,,1,,,,,,,false,,,,,,2,,460144,,,,
163,100 Dragon Shield Sleeves - Classic White,,10,,2,,,,,,,false,,,,,,2,,315014,,,,
164,100 Dragon Shield Sleeves - Classic Yellow,,10,,2,,,,,,,false,,,,,,2,,315022,,,,
165,100 Ultra Pro PLATINUM Nine Pocket Pages,,24,,1,,,,,,,false,,,,,,2,,200016,,,,
166,100 Ultra Pro SILVER Nine Pocket Pages,,19.9,,2,,,,,,,false,,,,,,2,,200023,,,,
167,25 Ultra Pro Regular Toploaders,,5,SEALED,7,,,,,,,false,,,,,,1,,263177,,,,
168,50 Ultra Pro Deck Protector Sleeves (Pink),,2.8,,7,,,,,,,false,,,,,,2,,257256,,,,
169,60 Dragon Shield Sleeves - Matte Night Blue,,5.8,,7,,,,,,,false,,,,,,2,,394162,,,,
170,60 Player's Choice Sleeves (Blue),,3.8,,18,,,,,,,false,,,,,,2,,267129,,,,
171,60 Player's Choice Sleeves (Gold),,5,POKEMON / MAGIC,11,,,,,,,false,,,,,,2,,267131,,,,
172,60 Player's Choice Sleeves (Green),,4.2,,15,,,,,,,false,,,,,,2,,267132,,,,
173,60 Player's Choice Sleeves (White),,3.9,POKEMON / MAGIC,4,,,,,,,false,,,,,,2,,267137,,,,
174,Ancient Guardians Booster,,3.9,,24,,,,,,,false,,,,,,2,,527355,,,,
175,Ancient Guardians Booster Box,,89,SEALED,4,,,,,,,false,,,,,,2,,527350,,,,
176,Ancient Guardians Booster Box,,79,SEALED,4,,,,,,,false,,,,,,2,,527350,,,,
177,Battle of Chaos Booster Box,,84,,36,,,,,,,false,,,,,,2,,577252,,,,
178,Battles of Legend: Hero's Revenge Booster Box,,120,SEALED,1,,,,,,,false,,,,,,2,,373182,,,,
179,Burst of Destiny Booster,,3.7,,72,,,,,,,false,,,,,,2,,574178,,,,
180,Breakers of Shadow: Sneak Peek Playmat,,25,SEALED,1,,,,,,,false,,,,,,2,,287162,,,,
181,Battle Pack: Epic Dawn Playmat,,15,UNSEALLED,2,,,,,,,false,,,,,,1,,257919,,,,
182,Brothers of Legend Booster Box,,62,,6,,,,,,,false,,,,,,1,,574175,,,,
183,Brothers of Legend Booster Box,,84,,30,,,,,,,false,,,,,,2,,574175,,,,
184,Dawn of Majesty Booster,,4.2,,48,,,,,,,false,,,,,,2,,562132,,,,
185,Dawn of Majesty Booster Box,,89,SEALED,11,,,,,,,false,,,,,,2,,562131,,,,
186,8x Dragons of Legend: The Complete Series,,320,,1,,,,,,,false,,,,,,2,,463229,,,,
187,Duelist Revolution Sneak Peek Playmat,,30,UNSEALED,1,,,,,,,false,,,,,,2,,257928,,,,
188,"Duel Devastator: ""Ash Blossom & Joyous Spring"" Field Center Card",,0.9,ENVOI RAPIDE !,46,,,,,,,false,,,,,,2,,406869,,,,
189,"Duel Devastator: ""Ghost Belle & Haunted Mansion"" Field Center Card",,0.9,ENVOI RAPIDE !,90,,,,,,,false,,,,,,2,,406874,,,,
190,"Duel Devastator: ""Ghost Ogre & Snow Rabbit"" Field Center Card",,0.9,ENVOI RAPIDE !,60,,,,,,,false,,,,,,2,,406879,,,,
191,"Duel Devastator: ""Ghost Reaper & Winter Cherries"" Field Center Card",,0.9,ENVOI RAPIDE !,95,,,,,,,false,,,,,,2,,406884,,,,
192,"Duel Devastator: ""Ghost Sister & Spooky Dogwood"" Field Center Card",,0.9,ENVOI RAPIDE !,108,,,,,,,false,,,,,,2,,406889,,,,
193,"Duel Devastator: ""Red Blossoms from Underroot"" Field Center Card",,0.9,ENVOI RAPIDE !,45,,,,,,,false,,,,,,2,,406924,,,,
194,Duel Devastator: Ishizu Ishtar Field Center Card,,0.9,ENVOI RAPIDE !,74,,,,,,,false,,,,,,2,,406894,,,,
195,Duel Devastator: Joey Wheeler Field Center Card,,0.9,ENVOI RAPIDE !,70,,,,,,,false,,,,,,2,,406899,,,,
196,Duel Devastator: Mai Valentine Field Center Card,,0.9,ENVOI RAPIDE !,103,,,,,,,false,,,,,,2,,406909,,,,
197,Duel Devastator: Maximillion Pegasus Field Center Card,,0.9,ENVOI RAPIDE !,68,,,,,,,false,,,,,,2,,406904,,,,
198,Duel Devastator: Seto Kaiba Field Center Card,,0.9,ENVOI RAPIDE !,72,,,,,,,false,,,,,,2,,406914,,,,
199,Duel Devastator: Yami Yugi Field Center Card,,0.35,ENVOI RAPIDE !,23,,,,,,,false,,,,,,2,,406919,,,,
200,Egyptian God Deck: Obelisk the Tormentor,,8,ENGLISH VERSION,14,,,,,,,false,,,,,,1,,562120,,,,
201,Egyptian God Deck: Slifer the Sky Dragon,,8,ENGLISH VERSION,14,,,,,,,false,,,,,,1,,562125,,,,
202,Extreme Victory Sneak Peek Playmat,,22,SEALED,1,,,,,,,false,,,,,,2,,257930,,,,
203,Fists of the Gadgets Booster Box,,89,,1,,,,,,,false,,,,,,2,,390137,,,,
204,Galactic Overlord Sneak Peek Playmat,,35,UNSEALED,1,,,,,,,false,,,,,,2,,257934,,,,
205,Ghosts From the Past Box,,30,,14,,,,,,,false,,,,,,2,,527365,,,,
206,Ghosts From the Past: The 2nd Haunting Booster Box,,84,,12,,,,,,,false,,,,,,2,,584068,,,,
207,Gold Series Kaiba Playmat,,17.9,UNSEALLED,1,,,,,,,false,,,,,,1,,257922,,,,
208,Gold Series Yugi & Kaiba Playmat,,17.9,UNSEALLED,2,,,,,,,false,,,,,,1,,257920,,,,
209,The Grand Creators Booster Box,,84,,12,,,,,,,false,,,,,,2,,577248,,,,
210,King's Court Booster Box,,130,,2,,,,,,,false,,,,,,2,,548796,,,,
211,"Legendary Duelists: Season 2: ""Kaiba Corp"" Die",,13,,10,,,,,,,false,,,,,,2,,535598,,,,
212,Legendary Duelists: Synchro Storm Booster Box,,47,,3,,,,,,,false,,,,,,1,,562127,,,,
213,Legendary Duelists: Synchro Storm Booster Box,,53,,75,,,,,,,false,,,,,,2,,562127,,,,
214,Legendary Duelists: Synchro Storm Case (12 Booster Boxes),,696,,3,,,,,,,false,,,,,,2,,562126,,,,
215,Lightning Overdrive Booster Box,,89,SEALED,2,,,,,,,false,,,,,,2,,548746,,,,
216,Maximum Gold: El Dorado Booster Box,,160,,6,,,,,,,false,,,,,,2,,574186,,,,
217,Maximum Gold: El Dorado Box,,29.9,,79,,,,,,,false,,,,,,2,,574189,,,,
218,Maximum Gold: El Dorado Box,,24,ANGLAIS,6,,,,,,,false,,,,,,1,,574189,,,,
219,2021 Tin of Ancient Battles,,22.9,,39,,,,,,,false,,,,,,2,,562135,,,,
220,OTS Tournament Pack 11 Booster,,280,CARTON 50 BOOSTERS SCELLÉE,1,,,,,,,false,,,,,,2,,394897,,,,
221,"""Noble Knight Artorigus 125th YCS Anniversary"" Playmat",,35,UNSEALED (NICO),1,,,,,,,false,,,,,,1,,265513,,,,
222,Ghost Sister & Spooky Dogwood 2019 Judge Playmat,,80,SEALED,1,,,,,,,false,,,,,,1,,371901,,,,
223,LLDS Twilightsworn Playmat,,70,UNSEALED (NICO),1,,,,,,,false,,,,,,1,,298951,,,,
224,MCM Comic Con London 2017 Playmat,,52.9,SEALED,1,,,,,,,false,,,,,,1,,300641,,,,
225,Ordeal of a Traveler Imposter of Shien Playmat,,90,SEALED,1,,,,,,,false,,,,,,1,,311237,,,,
226,Ordeal of a Traveler Nurse Dragonmaid Playmat,,120,SEALED,3,,,,,,,false,,,,,,1,,428856,,,,
227,"Regional WCQ 2011 ""Aesir"" Playmat",,45,UNSEALED,1,,,,,,,false,,,,,,2,,257885,,,,
228,"Regional WCQ 2016 ""Buster Blader"" Playmat",,40,UNSEALED (NICO),1,,,,,,,false,,,,,,1,,289440,,,,
229,Regional WCQ 2017 Zoodiac Monsters Playmat,,60,UNSEALED,1,,,,,,,false,,,,,,2,,295703,,,,
230,"Regional WCQ 2018 ""Saryuja Skull Dread"" Playmat",,30,UNSEALED,2,,,,,,,false,,,,,,1,,315833,,,,
231,"Regional WCQ 2020 ""@Ignister"" Playmat",,30,SEALED,1,,,,,,,false,,,,,,2,,475099,,,,
232,Vampire Sucker 2018 Judge Playmat,,100,UNSEALED (NICO),1,,,,,,,false,,,,,,1,,320560,,,,
233,WCQ 2012 Participation Playmat,,45,UNSEALED,1,,,,,,,false,,,,,,2,,257891,,,,
234,WCQ 2013 Participation Playmat,,70,UNSEALED (NICO),1,,,,,,,false,,,,,,1,,263162,,,,
235,WCQ 2015 Participation Playmat,,45,SEALED,2,,,,,,,false,,,,,,2,,283721,,,,
236,"Win-A-Mat 2010 ""Crow Hogan"" Playmat",,30,UNSEALED,1,,,,,,,false,,,,,,2,,257958,,,,
237,"Win-A-Mat 2015 ""Yuya & Odd-Eyes Pendulum Dragon"" Playmat",,35,SEALED,2,,,,,,,false,,,,,,2,,292070,,,,
238,"Win-A-Mat 2018 ""Playmaker & Firewall Dragon"" Playmat",,25,SEALED,2,,,,,,,false,,,,,,2,,355781,,,,
239,"Win-A-Mat 2018 ""Playmaker & Firewall Dragon"" Playmat",,35,SEALED,2,,,,,,,false,,,,,,2,,355781,,,,
240,YCS 2012 Top Cut Playmat,,50,UNSEALED (NICO),1,,,,,,,false,,,,,,1,,269792,,,,
241,YCS Bochum 2016 Side Event Playmat,,70,UNSEALLED - Perfect condition,4,,,,,,,false,,,,,,1,,295486,,,,
242,"YCS Sydney 2017 ""Dark Magician"" Playmat",,110,SEALED,2,,,,,,,false,,,,,,1,,359198,,,,
243,Rising Rampage Booster,,3.8,,22,,,,,,,false,,,,,,2,,373191,,,,
244,Rising Rampage Booster Box,,89,,3,,,,,,,false,,,,,,2,,373188,,,,
245,Rising Rampage Booster Box,,84,,3,,,,,,,false,,,,,,2,,373188,,,,
246,Speed Duel: Battle City Box,,24,SEALED,23,,,,,,,false,,,,,,2,,491109,,,,
